DISA,Altitude,Mach,FRAC,power_kW,FuelFlow_kgph,JetThrust_N
0,761.9999756160008,0.35,0.5,436.409954494,215.217066029121,49.388809071
0,761.9999756160008,0.35,0.6,523.69773674,232.8354786305906,80.78488406562
0,761.9999756160008,0.35,0.7,610.97991951,251.5416818551211,116.02142765808
0,761.9999756160008,0.35,0.8,698.2504452840001,270.4369738320784,153.8977807542
0,761.9999756160008,0.35,0.9,785.553298968,289.133925521183,193.72901978304
0,761.9999756160008,0.35,1.0,872.8252816800001,308.3390360977956,236.9771634531
0,761.9999756160008,0.4,0.0,11.954281476,114.5810517534247,0.0
0,761.9999756160008,0.4,0.5,436.4164655819999,214.4311271588497,0.0
0,761.9999756160008,0.4,0.6,523.69573373,232.0483402186338,20.89521541926
0,761.9999756160008,0.4,0.7,610.982969904,250.817335052708,53.12787604572
0,761.9999756160008,0.4,0.8,698.263148918,269.7289321883335,88.02396622404001
0,761.9999756160008,0.4,0.9,785.55539299,288.3799962617255,124.85756313954
0,761.9999756160008,0.4,1.0,872.838758916,307.5250848414225,165.12102680934
0,761.9999756160008,0.45,0.0,16.402882388,115.2294573682301,0.0
0,761.9999756160008,0.45,0.5,436.40408049,213.3774448767123,0.0
0,761.9999756160008,0.45,0.6,523.6853979,231.1760516570806,-39.25712506632
0,761.9999756160008,0.45,0.7,610.9718597259999,249.8516441123106,-10.14723053358
0,761.9999756160008,0.45,0.8,698.264878892,268.8152963979861,21.8751226995
0,761.9999756160008,0.45,0.9,785.544556594,287.587888921437,55.85001765336
0,761.9999756160008,0.45,1.0,872.824553584,306.5971429726027,93.23492250744
0,761.9999756160008,0.5,0.0,21.323898244,116.0067659945568,0.0
0,761.9999756160008,0.5,0.5,436.4095449399999,212.1271921453325,0.0
0,761.9999756160008,0.5,0.6,523.706570126,230.175395292933,-99.7650562587
0,761.9999756160008,0.5,0.7,610.9857017559999,248.773019409961,-73.79537818674001
0,761.9999756160008,0.5,0.8,698.269340718,267.8293601506849,-44.54043609624
0,761.9999756160008,0.5,0.9,785.579616356,286.5845345241767,-13.38993398316
0,761.9999756160008,0.5,1.0,872.838850674,305.5959588849678,21.07332214806
0,761.9999756160008,0.55,0.0,27.664097786,116.7224465293477,0.0
0,761.9999756160008,0.55,0.5,436.40977247,210.725043003538,0.0
0,761.9999756160008,0.55,0.6,523.6819372059999,228.828370799238,-160.75805694564
0,761.9999756160008,0.55,0.7,610.961979702,247.5252939501044,-137.91555760164
0,761.9999756160008,0.55,0.8,698.254770592,266.5840618445977,-111.55206526842
0,761.9999756160008,0.55,0.9,785.535541184,285.4296402105597,-83.02083967548
0,761.9999756160008,0.55,1.0,872.807432884,304.5788406357616,-51.30955491522
0,1523.999951232002,0.0,0.0,0.0,109.2828440828268,0.0
0,1523.999951232002,0.0,0.5,436.418605856,206.1499395523905,429.54926348922
0,1523.999951232002,0.0,0.6,523.698283558,223.8819142248934,486.57785482446
0,1523.999951232002,0.0,0.7,610.9909834360001,242.3216306557199,545.75405567214
0,1523.999951232002,0.0,0.8,698.2683395859999,261.2013033274064,605.9463767590801
0,1523.999951232002,0.0,0.9,785.55384504,281.207858394448,668.1025380456
0,1523.999951232002,0.0,1.0,872.8420375860001,302.1810466315885,730.3034306324399
0,1523.999951232002,0.05,0.0,0.0,109.3896458662796,0.0
0,1523.999951232002,0.05,0.5,436.4263008459999,206.1073502084732,377.0567934294
0,1523.999951232002,0.05,0.6,523.693274914,223.8453211858841,430.70336751288
0,1523.999951232002,0.05,0.7,610.9702207639999,242.279712194321,486.70613704104
0,1523.999951232002,0.05,0.8,698.2590959,261.1512472575524,544.00489991442
0,1523.999951232002,0.05,0.9,785.542006766,281.1139137890774,603.47011051194
0,1523.999951232002,0.05,1.0,872.839669782,302.0612314115032,663.36863556432
0,1523.999951232002,0.1,0.0,0.0,109.7263554396262,0.0
